index,category,description,influenceDistance,pct,x,y,z
30,0,Bonnie,19.4309,0.9534510433386838,-1.7000632,-1.414691,-8.53228
31,0,Bonnie,17.7399,0.9518459069020867,-0.44099617,-1.8685665,-7.73621
32,0,Bonnie,16.6862,0.9502407704654896,-0.46214676,-0.35339355,-8.79396
33,0,Bonnie,21.2317,0.9486356340288925,0.22531033,2.214652,-7.753724
34,0,Bonnie,17.5648,0.9470304975922953,1.6073465,1.7134552,-9.277144
35,0,Bonnie,20.8131,0.9454253611556982,0.1434269,1.2439251,-9.030286
36,0,Bonnie,27.5222,0.9438202247191011,-2.0089083,1.031199,-7.810418
37,0,Bonnie,22.2158,0.942215088282504,-1.9400787,-1.1406631,-7.489665
38,0,Bonnie,40.5893,0.9406099518459069,-1.4346733,0.5811367,-7.9774723
39,0,Bonnie,32.1389,0.9390048154093098,-1.6923871,-1.559052,-8.649715
40,0,Bonnie,25.6573,0.9373996789727127,-0.53738403,-1.8294945,-7.590686
41,0,Bonnie,29.9499,0.9357945425361156,1.4226923,2.0251198,-9.395492
42,0,Bonnie,34.0641,0.9341894060995185,4.341834,-2.2526193,-8.851569
43,0,Bonnie,37.1561,0.9325842696629213,-1.5185843,1.8104601,-7.8428288
44,0,Bonnie,32.5221,0.9309791332263242,-1.9766316,0.645216,-8.834634
45,0,Bonnie,32.1434,0.9293739967897271,-1.3897915,0.021678925,-9.501867
46,0,Bonnie,34.3905,0.92776886035313,-0.7407589,-1.2677841,-7.5703583
47,0,Bonnie,42.2816,0.9261637239165329,0.5936794,-2.0538077,-6.568945
48,0,Bonnie,62.768,0.9245585874799358,0.8248186,-1.2332101,-8.301007
49,0,Bonnie,65.2279,0.9229534510433387,0.11981201,-0.1761117,-8.89115
50,0,Bonnie,53.7063,0.9213483146067416,0.41370487,1.4654875,-8.881205
51,0,Bonnie,39.7183,0.9197431781701445,-1.986723,0.9329076,-8.716923
52,0,Bonnie,32.4495,0.9181380417335474,1.7845354,-3.758308,-5.404442
53,0,Bonnie,26.9851,0.9165329052969502,-1.0786781,-1.4494181,-7.4888296
54,0,Bonnie,28.0116,0.9149277688603531,1.5144596,1.9319382,-9.236232
55,0,Bonnie,36.1839,0.913322632423756,1.6794281,1.8360033,-8.942128
56,0,Bonnie,45.5473,0.9117174959871589,0.26429558,1.029273,-9.336885
57,0,Bonnie,54.1489,0.9101123595505618,-1.8966784,1.3634796,-8.332058
58,0,Bonnie,42.9439,0.9085072231139647,-1.6147785,1.5690413,-8.137758
59,0,Bonnie,68.1122,0.9069020866773676,-3.9685893,-0.74545383,1.0892587
60,0,Bonnie,25.5668,0.9052969502407705,-3.9844847,-0.75092506,1.0059135
61,0,Bonnie,27.0931,0.9036918138041734,-4.1900206,-0.80848885,0.7847898
62,0,Bonnie,30.2452,0.9020866773675762,-3.8936863,-1.0045323,0.85838246
63,0,Bonnie,38.8222,0.9004815409309791,-3.668342,-1.0546436,0.9390085
64,0,Bonnie,35.0979,0.898876404494382,-3.6844387,-1.0275359,0.7777095
65,0,Bonnie,30.7027,0.8972712680577849,-3.7929416,-0.8370738,0.3408289
66,0,Bonnie,21.688,0.8956661316211878,-3.8692036,-0.80571175,0.2747488
67,0,Bonnie,17.6503,0.8940609951845907,-4.1491256,-0.59030724,0.2749989
68,0,Bonnie,17.9878,0.8924558587479936,-3.9802575,-0.7351513,0.48924518
69,0,Bonnie,19.959,0.8908507223113965,-3.5980372,-0.9218178,0.54161763
70,0,Bonnie,26.902,0.8892455858747994,-3.6067228,-0.8985348,0.56605196
71,0,Bonnie,28.84,0.8876404494382022,-3.6587834,-0.9172392,0.32949066
72,0,Bonnie,30.579,0.8860353130016051,-3.5364656,-0.8826637,-0.22561741
73,0,Bonnie,31.0836,0.884430176565008,-3.547287,-0.84318876,-0.40252876
74,0,Bonnie,37.3518,0.8828250401284109,-3.4222426,-0.7685027,-0.56465507
75,0,Bonnie,31.8518,0.8812199036918138,-3.118906,-0.7123604,-0.3846116
